index,target_x,target_y,target_z,actual_x,actual_y,actual_z,targeting_error_mm,angular_error_deg,exp_R00,exp_R01,exp_R02,exp_R10,exp_R11,exp_R12,exp_R20,exp_R21,exp_R22,act_R00,act_R01,act_R02,act_R10,act_R11,act_R12,act_R20,act_R21,act_R22,F_OM1_x,F_OM1_y,F_OM1_z,F_OM1_R00,F_OM1_R01,F_OM1_R02,F_OM1_R10,F_OM1_R11,F_OM1_R12,F_OM1_R20,F_OM1_R21,F_OM1_R22,F_OM2_x,F_OM2_y,F_OM2_z,F_OM2_R00,F_OM2_R01,F_OM2_R02,F_OM2_R10,F_OM2_R11,F_OM2_R12,F_OM2_R20,F_OM2_R21,F_OM2_R22
2,-0.00000000,405.00000000,-115.00000000,16.02537478,414.59395771,-113.04079303,18.78017980,7.56089451,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99328870,0.02347757,-0.11325365,-0.03120906,0.99726581,-0.06698438,0.11137137,0.07006937,0.99130558,63.05780411,-132.36589050,1073.59973145,-0.97713983,0.20890282,0.03946324,0.00200441,0.19466840,-0.98086709,-0.21258815,-0.95836520,-0.19063698,136.54975891,45.40873337,727.30413818,0.97270656,-0.18815593,0.13579156,0.11332496,-0.12545446,-0.98560572,0.20248322,0.97409368,-0.10070761
2,40.00000000,405.00000000,-115.00000000,55.28425366,410.45825072,-114.26908702,16.24608090,7.24230116,0.98372585,0.17967595,-0.00000000,-0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97494063,0.18743368,-0.11983090,-0.19328831,0.98036037,-0.03915565,0.11013838,0.06133633,0.99202190,63.03606415,-132.39691162,1073.69580078,-0.97707647,0.20922695,0.03931518,0.00203609,0.19385050,-0.98102897,-0.21287896,-0.95846027,-0.18983276,102.02588654,46.01411438,720.42242432,0.98870254,-0.02439221,0.14789306,0.14353290,-0.13025226,-0.98103654,0.04319306,0.99118078,-0.12527965
2,-40.00000000,405.00000000,-115.00000000,-20.22267168,409.97647645,-115.91972899,20.41455203,8.03822203,0.98372585,-0.17967595,-0.00000000,0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97509777,-0.17670337,-0.13401574,0.17285567,0.98413801,-0.03991553,0.13894320,0.01575616,0.99017501,63.03776550,-132.39059448,1073.66992188,-0.97719777,0.20865197,0.03935565,0.00193166,0.19407862,-0.98098409,-0.21232235,-0.95853943,-0.19005625,170.25442505,46.82518387,736.04431152,0.91132849,-0.37863657,0.16160041,0.10086991,-0.17520228,-0.97935152,0.39913106,0.90881157,-0.12147380
2,0.00000000,435.00000000,-115.00000000,21.27714728,435.89369051,-117.13067969,21.40223061,9.65526680,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,0.00000000,1.00000000,0.98530253,-0.03509711,-0.16717390,0.03330396,0.99935386,-0.01351859,0.16754033,0.00775236,0.98583472,63.03116608,-132.40989685,1073.73925781,-0.97714537,0.20890330,0.03932316,0.00193301,0.19371200,-0.98105651,-0.21256332,-0.95855886,-0.18968859,142.30433655,53.85806274,701.39971924,0.94923830,-0.24336815,0.19929527,0.15601057,-0.18591349,-0.97010148,0.27314347,0.95194966,-0.13850820
2,5.00000000,375.00000000,-115.00000000,15.11197848,385.47953164,-112.11433739,14.84586612,5.88480982,0.99965025,0.02644577,0.00000000,-0.02644577,0.99965025,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99578557,0.05733326,-0.07158216,-0.06258404,0.99533672,-0.07340348,0.06703990,0.07757402,0.99473003,63.06805038,-132.36201477,1073.56042480,-0.97717512,0.20870923,0.03961333,0.00190756,0.19508557,-0.98078436,-0.21242674,-0.95832253,-0.19103089,126.90885925,38.58319092,754.97613525,0.98346311,-0.15478429,0.09403290,0.07606141,-0.11820181,-0.99007219,0.16436248,0.98085177,-0.10447400
2,-0.00000000,425.00000000,-115.00000000,18.89441639,427.66432777,-116.13395853,19.11500654,8.50464941,1.00000000,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,0.98916145,-0.02024747,-0.14542920,0.01650935,0.99950276,-0.02686531,0.14590085,0.02417319,0.98900387,63.03488922,-132.40678406,1073.71923828,-0.97718531,0.20871587,0.03932637,0.00193103,0.19388567,-0.98102224,-0.21237972,-0.95856458,-0.18986526,140.26501465,50.98236084,710.64233398,0.95741051,-0.22934826,0.17539799,0.13802095,-0.17003572,-0.97572440,0.25360462,0.95837742,-0.13113913
2,-0.00000000,420.00000000,-10.00000000,6.16584683,421.99646240,-12.06667311,6.80254856,5.15864849,1.00000000,0.00000000,0.00000000,0.00000000,0.90630779,-0.42261826,-0.00000000,0.42261826,0.90630779,0.99559222,0.02668913,-0.08990948,-0.06232975,0.90460592,-0.42166700,0.07007872,0.42541246,0.90228219,63.06492615,-132.37055969,1073.58605957,-0.97711438,0.20899436,0.03960819,0.00195817,0.19503327,-0.98079467,-0.21270546,-0.95827103,-0.19097906,136.91738892,36.23084259,724.58825684,0.98305839,-0.17982902,0.03546358,0.07893968,0.24076176,-0.96736872,0.16542269,0.95377946,0.25087851
2,-0.00000000,420.00000000,-10.00000000,4.86712743,419.68807044,-12.27835512,5.38304111,12.08710110,0.90377277,0.06773915,0.42261826,-0.07474188,0.99720291,-0.00000000,-0.42143616,-0.03158728,0.90630779,0.97245579,0.06443414,0.22400418,-0.06250284,0.99792113,-0.01570918,-0.22455071,0.00127557,0.97446161,63.02261353,-132.41777039,1073.74218750,-0.97717041,0.20879263,0.03928835,0.00197001,0.19382049,-0.98103505,-0.21244778,-0.95856100,-0.18980698,134.17295837,50.45929337,714.40533447,0.97212744,-0.14544557,-0.18388523,-0.21009353,-0.19229312,-0.95858443,0.10406200,0.97049934,-0.21749060
2,-0.00000000,420.00000000,-10.00000000,5.53291925,420.86838562,-8.13592924,5.90271537,9.23054339,1.00000000,-0.00000000,0.00000000,0.00000000,0.90630779,0.42261826,-0.00000000,-0.42261826,0.90630779,0.98950342,0.07569662,-0.12309765,-0.03203461,0.94553696,0.32393472,0.14091412,-0.31659110,0.93803692,63.03084564,-132.41029358,1073.70861816,-0.97715116,0.20888311,0.03928717,0.00200057,0.19387181,-0.98102480,-0.21253619,-0.95853096,-0.18985996,136.07131958,59.91490936,716.11212158,0.96804976,-0.11110168,0.22480232,0.14247130,-0.49404815,-0.85768199,0.20635307,0.86230671,-0.46243438
2,0.00000000,420.00000000,-10.00000000,7.04653269,420.05132394,-11.21795424,7.15120057,2.03463980,0.90377277,-0.06773915,-0.42261826,0.07474188,0.99720291,-0.00000000,0.42143616,-0.03158728,0.90630779,0.89072523,0.00716619,-0.45448563,-0.00898156,0.99995803,-0.00183553,0.45445338,0.00571696,0.89075216,63.02495956,-132.41749573,1073.73571777,-0.97715670,0.20885164,0.03931599,0.00194715,0.19378959,-0.98104119,-0.21251108,-0.95855445,-0.18976946,140.94606018,50.64592361,715.34216309,0.85438669,-0.20206514,0.47874114,0.44584364,-0.18818682,-0.87510520,0.26692104,0.96112198,-0.07069486
